"","pertenencia_id","tipo_id","usuario_id","nome","orgao_id","orgao","sigla","fecha_inicio","fecha_termino","atribuicoes","cargo","descricao_cargo","tipo_perfil_pertenencias","tipo_perfil_pertenencias_chave","tipo_exercicio","nome_home","grupo_ativo"
"1",23903,22,20246,"Aline Bessa Veloso ",1163,"Agência Espacial Brasileira","AEB","20-07-2023",NA,NA,"DIRETOR DE INTELIGÊNCIA ESTRATÉGICA E NOVOS NEGÓCIOS (DIEN)","","Agente Público Obrigado - Titular","apo","Titular","Aline Bessa Veloso  (desde 20/07/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"2",16323,22,12950,"MARCIO AKIRA HARADA",1163,"Agência Espacial Brasileira","AEB","17-01-2023",NA,NA,"DIRETOR DE GOVERNANÇA DO SETOR ESPACIAL (DGSE)","","Agente Público Obrigado - Titular","apo","Titular","MARCIO AKIRA HARADA (desde 17/01/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"3",23126,22,19618,"Marco Antonio Chamon",1163,"Agência Espacial Brasileira","AEB","30-06-2023",NA,NA,"PRESIDENTE DA AEB","","Agente Público Obrigado - Titular","apo","Titular","Marco Antonio Chamon (desde 30/06/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"4",31936,22,25934,"PAOLO GESSINI",1163,"Agência Espacial Brasileira","AEB","26-10-2023",NA,NA,"DIRETOR DE INTELIGÊNCIA ESTRATÉGICA E NOVOS NEGÓCIOS (DIEN)","","Agente Público Obrigado - Titular","apo","Titular","PAOLO GESSINI (desde 26/10/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"5",24738,22,21131,"RODRIGO LEONARDI",1163,"Agência Espacial Brasileira","AEB","22-08-2023",NA,NA,"DIRETOR DE GESTÃO DE PORTFÓLIO (DGEP)","","Agente Público Obrigado - Titular","apo","Titular","RODRIGO LEONARDI (desde 22/08/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"6",31916,22,25928,"ROGERIO LUIZ VERISSIMO CRUZ",1163,"Agência Espacial Brasileira","AEB","10-01-2024",NA,NA,"DIRETOR DE GOVERNANÇA DO SETOR ESPACIAL (DGSE)","","Agente Público Obrigado - Titular","apo","Titular","ROGERIO LUIZ VERISSIMO CRUZ (desde 10/01/2024) - APO ativo","Agente Público Obrigado Titular ativo"
"7",26049,22,22327,"Vanessa Murta Rezende",1163,"Agência Espacial Brasileira","AEB","10-10-2023",NA,NA,"DIRETOR DE PLANEJAMENTO, ORÇAMENTO E ADMINISTRAÇÃO (DPOA)","","Agente Público Obrigado - Titular","apo","Titular","Vanessa Murta Rezende (desde 10/10/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"8",8910,22,8440,"ADRIANA CHRISTINA PINTO RODRIGUES",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","23-09-2022",NA,NA,"ASSESSOR ESPECIAL DE GOVERNANÇA","","Agente Público Obrigado - Titular","apo","Titular","ADRIANA CHRISTINA PINTO RODRIGUES (desde 23/09/2022) - APO ativo","Agente Público Obrigado Titular ativo"
"9",32500,22,17264,"ADRIANA MARQUES",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","01-03-2024",NA,NA,"COORDENADOR DE ESTUDOS ECONÔMICOS","","Agente Público Obrigado - Titular","apo","Titular","ADRIANA MARQUES (desde 01/03/2024) - APO ativo","Agente Público Obrigado Titular ativo"
"10",11139,22,1779,"ALAN VAZ LOPES",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","05-09-2022",NA,NA,"SUPERINTENDENTE ADJUNTO DE OPERAÇÕES E EVENTOS CRÍTICOS – SOE","","Agente Público Obrigado - Titular","apo","Titular","ALAN VAZ LOPES (desde 05/09/2022) - APO ativo","Agente Público Obrigado Titular ativo"
"11",4190,22,4426,"ALANA TELES NUNES",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","15-03-2017",NA,NA,"COORDENADOR DE PLANEJAMENTO E PROJETOS","","Agente Público Obrigado - Titular","apo","Titular","ALANA TELES NUNES (desde 15/03/2017) - APO ativo","Agente Público Obrigado Titular ativo"
"12",14328,22,4430,"Aldo César Martins Braido",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","22-12-2022",NA,NA,"COORDENADOR DE ASSUNTOS REGULATÓRIOS E FINALÍSTICOS","","Agente Público Obrigado - Titular","apo","Titular","Aldo César Martins Braido (desde 22/12/2022) - APO ativo","Agente Público Obrigado Titular ativo"
"13",4196,22,4432,"Alessandra Daibert Couri",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","05-01-2004",NA,NA,"COORDENADOR DE ARTICULAÇÃO PARA GESTÃO DE EVENTOS CRÍTICOS","","Agente Público Obrigado - Titular","apo","Titular","Alessandra Daibert Couri (desde 05/01/2004) - APO ativo","Agente Público Obrigado Titular ativo"
"14",15144,22,12966,"Alexandre Abdalla Araujo",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","25-01-2023",NA,NA,"COORDENADOR DE ESTUDOS HIDROLÓGICOS","","Agente Público Obrigado - Titular","apo","Titular","Alexandre Abdalla Araujo (desde 25/01/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"15",21998,22,4433,"ALEXANDRE ANDERAOS",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","07-06-2023",NA,NA,"SUPERINTENDENTE ADJUNTO DE REGULAÇÃO DE SANEAMENTO BÁSICO – SSB","","Agente Público Obrigado - Titular","apo","Titular","ALEXANDRE ANDERAOS (desde 07/06/2023) - APO ativo","Agente Público Obrigado Titular ativo"
"16",1610,22,1759,"ANA CAROLINA ARGOLO NASCIMENTO DE CASTRO",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","13-04-2022",NA,NA,"DIRETORA","","Agente Público Obrigado - Titular","apo","Titular","ANA CAROLINA ARGOLO NASCIMENTO DE CASTRO (desde 13/04/2022) - APO ativo","Agente Público Obrigado Titular ativo"
"17",4198,22,4434,"ANA CAROLINA DIAS MENDES",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","04-01-2012",NA,NA,"COORDENADOR DE CONTABILIDADE","","Agente Público Obrigado - Titular","apo","Titular","ANA CAROLINA DIAS MENDES (desde 04/01/2012) - APO ativo","Agente Público Obrigado Titular ativo"
"18",4201,22,4437,"ANA CAROLINA GOZZER DE MACEDO BRAZ",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","02-06-2008",NA,NA,"ASSESSOR DE DIRETOR","","Agente Público Obrigado - Titular","apo","Titular","ANA CAROLINA GOZZER DE MACEDO BRAZ (desde 02/06/2008) - APO ativo","Agente Público Obrigado Titular ativo"
"19",4203,22,4439,"ANA LUCIA LIMA BARROS DOLABELLA",1183,"Agência Nacional de Águas e Saneamento Básico","ANA","11-06-2018",NA,NA,"ASSESSOR DE DIRETOR","","Agente Público Obrigado - Titular","apo","Titular","ANA LUCIA LIMA BARROS DOLABELLA (desde 11/06/2018) - APO ativo","Agente Público Obrigado Titular ativo"
