"","id","nombre","tipo","administracao_direta","institucion_padre_id","sigla","codigo","activa","data_criacao_lei","data_ativacao","data_inativacao","data_edicao","natureza_juridica_id","justificativa_inativacao_id","justificativa_outros","sigla_nome","nome","nome_home","grupo_ativo","situacao"
"1",514,"Advocacia-Geral da União","orgao",1,NA,"AGU","46",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"AGU - Advocacia-Geral da União","Advocacia-Geral da União","AGU - Advocacia-Geral da União (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"2",1163,"Agência Espacial Brasileira","orgao",0,862,"AEB","4243",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"AEB - Agência Espacial Brasileira","Agência Espacial Brasileira","AEB - Agência Espacial Brasileira (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"3",1183,"Agência Nacional de Águas e Saneamento Básico","orgao",0,855,"ANA","46876",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANA - Agência Nacional de Águas e Saneamento Básico","Agência Nacional de Águas e Saneamento Básico","ANA - Agência Nacional de Águas e Saneamento Básico (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"4",1223,"Agência Nacional de Aviação Civil","orgao",0,660,"ANAC","86144",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANAC - Agência Nacional de Aviação Civil","Agência Nacional de Aviação Civil","ANAC - Agência Nacional de Aviação Civil (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"5",1169,"Agência Nacional de Energia Elétrica","orgao",0,661,"ANEEL","21089",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANEEL - Agência Nacional de Energia Elétrica","Agência Nacional de Energia Elétrica","ANEEL - Agência Nacional de Energia Elétrica (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"6",1337,"Agência Nacional de Mineração","orgao",0,661,"ANM","222120",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANM - Agência Nacional de Mineração","Agência Nacional de Mineração","ANM - Agência Nacional de Mineração (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"7",1181,"Agência Nacional de Saúde Suplementar","orgao",0,563,"ANS","45013",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANS - Agência Nacional de Saúde Suplementar","Agência Nacional de Saúde Suplementar","ANS - Agência Nacional de Saúde Suplementar (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"8",1175,"Agência Nacional de Telecomunicações","orgao",0,860,"ANATEL","25064",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANATEL - Agência Nacional de Telecomunicações","Agência Nacional de Telecomunicações","ANATEL - Agência Nacional de Telecomunicações (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"9",1191,"Agência Nacional de Transportes Aquaviários","orgao",0,660,"ANTAQ","54843",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANTAQ - Agência Nacional de Transportes Aquaviários","Agência Nacional de Transportes Aquaviários","ANTAQ - Agência Nacional de Transportes Aquaviários (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"10",1190,"Agência Nacional de Transportes Terrestres","orgao",0,660,"ANTT","54793",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANTT - Agência Nacional de Transportes Terrestres","Agência Nacional de Transportes Terrestres","ANTT - Agência Nacional de Transportes Terrestres (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"11",1178,"Agência Nacional de Vigilância Sanitária","orgao",0,563,"ANVISA","36687",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANVISA - Agência Nacional de Vigilância Sanitária","Agência Nacional de Vigilância Sanitária","ANVISA - Agência Nacional de Vigilância Sanitária (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"12",1194,"Agência Nacional do Cinema","orgao",0,714,"ANCINE","57682",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANCINE - Agência Nacional do Cinema","Agência Nacional do Cinema","ANCINE - Agência Nacional do Cinema (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"13",1176,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis","orgao",0,661,"ANP","25281",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis","Agência Nacional do Petróleo, Gás Natural e Biocombustíveis","ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"14",857,"Autoridade Nacional de Proteção de Dados","orgao",1,NA,"ANPD","235884",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANPD - Autoridade Nacional de Proteção de Dados","Autoridade Nacional de Proteção de Dados","ANPD - Autoridade Nacional de Proteção de Dados (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"15",1363,"Autoridade Nacional de Segurança Nuclear","orgao",0,661,"ANSN","273855",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"ANSN - Autoridade Nacional de Segurança Nuclear","Autoridade Nacional de Segurança Nuclear","ANSN - Autoridade Nacional de Segurança Nuclear (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"16",521,"Banco Central do Brasil","orgao",0,NA,"BCB","89",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"BCB - Banco Central do Brasil","Banco Central do Brasil","BCB - Banco Central do Brasil (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"17",1433,"Caixa de Construções de Casas para o Pessoal da Marinha","orgao",0,679,"CCCPM","208",1,"1936-01-15","2024-05-10",NA,NA,37,NA,NA,"CCCPM - Caixa de Construções de Casas para o Pessoal da Marinha","Caixa de Construções de Casas para o Pessoal da Marinha","CCCPM - Caixa de Construções de Casas para o Pessoal da Marinha (desde 10/05/2024) - Ativo","Órgãos/Entidades ativos","ativo"
